taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1340356	Bombus haemorrhoidalis Smith, 1852	1340356	Bombus haemorrhoidalis Smith, 1852	8	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Bombus	1340278	Bombus haemorrhoidalis	1340356	NE
1353731	Lasioglossum xanthopus (Kirby, 1802)	1353731	Lasioglossum xanthopus (Kirby, 1802)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Halictidae	7908	Lasioglossum	1353501	Lasioglossum xanthopus	1353731	NE
1356870	Andrena agilissima (Scopoli, 1770)	1356870	Andrena agilissima (Scopoli, 1770)	12	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena agilissima	1356870	NE
1357235	Andrena verticalis Pérez, 1895	1357235	Andrena verticalis Pérez, 1895	94	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena verticalis	1357235	NE
1341976	Apis mellifera Linnaeus, 1758	1341976	Apis mellifera Linnaeus, 1758	41	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Apis	1334757	Apis mellifera	1341976	NE
1357480	Andrena nitidula Pérez, 1903	1357480	Andrena nitidula Pérez, 1903	10	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena nitidula	1357480	DD
12270673	Orionis coxator (Belokobylskij, 1995)	1250468	Perilitus coxator Belokobylskij, 1995	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Perilitus	1250459	Perilitus coxator	1250468	NE
1315089	Formica truncorum Fabricius, 1804	1315089	Formica truncorum Fabricius, 1804	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Formica	1314840	Formica truncorum	1315089	NE
9463163	Andrena stenofovea Scheuchl & Pisanty, 2018	9463163	Andrena stenofovea Scheuchl & Pisanty, 2018	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena stenofovea	9463163	NE
1357112	Andrena boyerella Dours, 1872	1357112	Andrena boyerella Dours, 1872	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena boyerella	1357112	NE
1357207	Andrena labiata Fabricius, 1781	1357207	Andrena labiata Fabricius, 1781	45	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena labiata	1357207	NE
1400660	Sacespalus Kieffer, 1917	1400660	Sacespalus Kieffer, 1917	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Platygastridae	4348	Sacespalus	1400660			
1357520	Andrena fria Warncke, 1975	1357520	Andrena fria Warncke, 1975	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena fria	1357520	DD
